             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      17468878_276  parallel   source   yli311  R       8:53      2 c[549-550]
      17468878_275  parallel   source   yli311  R       9:11      2 c[056-057]
      17468878_274  parallel   source   yli311  R       9:14      2 c[345-346]
      17468878_273  parallel   source   yli311  R      10:17      2 c[551-552]
      17468878_272  parallel   source   yli311  R      10:56      2 c[176-177]
      17468878_271  parallel   source   yli311  R      10:59      2 c[182-183]
      17468878_270  parallel   source   yli311  R      11:32      2 c[524-525]
      17468878_269  parallel   source   yli311  R      12:02      2 c[441-442]
      17468878_268  parallel   source   yli311  R      12:24      2 c[187-188]
      17468878_267  parallel   source   yli311  R      12:27      2 c[315-316]
      17468878_266  parallel   source   yli311  R      13:08      2 c[199-200]
      17468878_265  parallel   source   yli311  R      13:14      2 c[184-185]
      17468878_264  parallel   source   yli311  R      13:51      2 c[650-651]
      17468878_263  parallel   source   yli311  R      13:54      2 c[568-569]
      17468878_262  parallel   source   yli311  R      16:20      2 c[039-040]
      17468878_261  parallel   source   yli311  R      17:17      2 c[222-223]
      17468878_260  parallel   source   yli311  R      20:30      2 c[331-332]
      17468878_259  parallel   source   yli311  R      21:50      2 c[245-246]
      17468878_258  parallel   source   yli311  R      47:11      2 c[573-574]
      17468878_256  parallel   source   yli311  R      55:10      2 c[351-352]
      17468878_257  parallel   source   yli311  R      55:10      2 c[518-519]
      17468878_255  parallel   source   yli311  R      55:38      2 c[487-488]
      17468878_254  parallel   source   yli311  R      57:11      2 c[638-639]
      17468878_253  parallel   source   yli311  R    1:00:33      2 c[371-372]
      17468878_252  parallel   source   yli311  R    1:00:45      2 c[288-289]
          17455189  parallel    PPOBC acaste11  R   12:55:45      1 c136
          17451128  parallel 1revel_v   mli186  R   16:19:40      4 c[251-254]
          17450469  parallel revel_ve   mli186  R   17:03:11      4 c[175,228-230]
          17405910  parallel F5Rockfi fmarti34  R 1-11:22:05      1 c317
        17429059_4  parallel BIN_SPLI msrivas6  R   22:42:39      1 c303
        17429059_6  parallel BIN_SPLI msrivas6  R   22:42:39      1 c336
        17429059_8  parallel BIN_SPLI msrivas6  R   22:42:39      1 c336
        17429059_9  parallel BIN_SPLI msrivas6  R   22:42:39      1 c336
       17429059_12  parallel BIN_SPLI msrivas6  R   22:42:39      1 c695
       17429059_13  parallel BIN_SPLI msrivas6  R   22:42:39      1 c695
          17489317  parallel interact cchen294  R      21:38      1 c565
          17353707  parallel   lhcenv  npinto7  R 2-23:05:54      1 c047
          17353708  parallel   lhcenv  npinto7  R 2-23:05:54      1 c047
          17353710  parallel   lhcenv  npinto7  R 2-23:05:54      1 c047
          17353711  parallel   lhcenv  npinto7  R 2-23:05:54      1 c047
          17353713  parallel   lhcenv  npinto7  R 2-23:05:54      1 c047
          17353714  parallel   lhcenv  npinto7  R 2-23:05:54      1 c047
          17353716  parallel   lhcenv  npinto7  R 2-23:05:54      1 c047
          17353718  parallel   lhcenv  npinto7  R 2-23:05:54      1 c047
          17353719  parallel   lhcenv  npinto7  R 2-23:05:54      1 c047
          17353696  parallel   lhcenv  npinto7  R 2-23:05:57      1 c047
          17353697  parallel   lhcenv  npinto7  R 2-23:05:57      1 c047
          17353698  parallel   lhcenv  npinto7  R 2-23:05:57      1 c047
          17353701  parallel   lhcenv  npinto7  R 2-23:05:57      1 c047
          17353704  parallel   lhcenv  npinto7  R 2-23:05:57      1 c047
          17353705  parallel   lhcenv  npinto7  R 2-23:05:57      1 c047
          17428851  parallel  orcarun mbanerj6  R   22:46:47      1 c053
          17428846  parallel  orcarun mbanerj6  R   22:47:03      1 c052
          17489790  parallel OOD_RStu    jyeo9  R       3:51      1 c013
          17426000  parallel   j8p60b pdagdig1  R   23:34:32      1 c583
          17425990  parallel   j8p60a pdagdig1  R   23:34:34      1 c144
          17425970  parallel   j8p40b pdagdig1  R   23:34:39      1 c143
          17425969  parallel   j8p40a pdagdig1  R   23:34:41      1 c382
          17425967  parallel   j8p20a pdagdig1  R   23:34:47      1 c357
          17451002  parallel 07_2_RNA jmitch81  R   16:29:23      1 c759
          17450996  parallel 07_2_RNA jmitch81  R   16:29:27      1 c319
          17463628  parallel realisti  vkapil1  R    9:13:51     20 c[008-010,027-030,150-157,159-163]
          17446039  parallel atHH_peg   mpial1  R   17:59:56      7 c[486,494,553,728,732,734,755]
          17489756  parallel OOD_Desk ncoudra1  R      11:38      1 c584
          17431947  parallel TS10_ny1 bviggia2  R   13:51:49      1 c006
          17373636  parallel OOD_Desk   jxu195  R 1-21:52:03      1 c011
          17489773  parallel b3dw2_4_   sguo30  R       7:50      1 c021
          17489774  parallel b3dw2_4_   sguo30  R       7:50      1 c095
          17489775  parallel b3dw2_4_   sguo30  R       7:50      1 c097
          17489776  parallel b3dw2_8_   sguo30  R       7:50      1 c134
          17489777  parallel b3dw2_8_   sguo30  R       7:50      1 c137
          17489778  parallel b3dw2_8_   sguo30  R       7:50      1 c142
          17489779  parallel b3dw2_48   sguo30  R       7:50      1 c167
          17489780  parallel b3dw2_48   sguo30  R       7:50      1 c169
          17489781  parallel b3dw2_48   sguo30  R       7:50      1 c210
          17449621  parallel Jupyter_  cchou21  R   17:22:44      1 c296
          17455963  parallel  ACTonly lherold3  R   11:30:44      1 c179
          17455952  parallel     PAD3 lherold3  R   11:32:14      1 c119
          17455777  parallel     PAD3 lherold3  R   11:33:29      1 c031
          17455734  parallel     PAD3 lherold3  R   11:36:18      1 c045
          17362197  parallel   ad_5_6 xzhan357  R 2-15:12:33      1 c326
          17362196  parallel   ad_3_4 xzhan357  R 2-15:12:41      1 c066
          17362190  parallel   ad_1_2 xzhan357  R 2-15:14:05      1 c284
          17433163  parallel  4pi_pep xzhan357  R   21:30:39      1 c041
          17432877  parallel  3pi_pep xzhan357  R   21:35:44      1 c324
          17432667  parallel  2mercon xzhan357  R   21:40:18      1 c557
          17455344  parallel   LAMMPS ashargh1  R   12:43:20     10 c[063,068-072,214-217]
